Community_Area_Number,PERCENT_OF_HOUSING_CROWDED,PERCENT_HOUSEHOLDS_BELOW_POVERTY,PERCENT_AGED_16+_UNEMPLOYED,PERCENT_AGED_25+_WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED UNDER_18_OR_OVER_64,PER_CAPITA_INCOME ,HARDSHIP_INDEX
127,15.8,23.4,18.2,51.5,38.8,12171,93
128,2.7,8.9,9.5,18.8,37.6,25113,29
129,5.8,14.9,9.6,33.6,39.6,16907,56
130,7.6,27.9,17.1,31.2,40.6,13231,80
131,4.8,34.4,35.9,26.3,40.7,11317,89
132,3.8,46.6,28,28.5,42.5,11888,94
133,3.6,29.6,23,16.5,41,17285,66
134,4,10.4,11.7,17.7,36.9,23482,37
135,4,27.6,28.3,18.5,41.9,15528,74
136,0.9,5.1,8,3.7,40.5,39523,12
137,1.1,16.9,20.8,13.7,42.6,19713,48
138,1,3.4,8.7,4.3,36.8,34381,16
139,0.8,13.2,15,10.8,40.3,27149,30
140,3.6,15.4,7.1,10.9,30.3,25828,24
141,4.1,18.2,9.2,9.7,23.8,33385,19
142,4.8,34.4,35.9,26.3,40.7,11317,89
143,3.8,46.6,28,28.5,42.5,11888,94
144,3.6,29.6,23,16.5,41,17285,66
145,4,10.4,11.7,17.7,36.9,23482,37
146,4,27.6,28.3,18.5,41.9,15528,74
147,7.7,23.6,8.7,18.2,27.5,23939,39
148,7.8,17.2,8.8,20.8,38.5,23040,46
149,3.8,24,8.9,11.8,22.2,35787,20
150,3.4,10.9,8.2,13.4,25.5,37524,17
151,0.3,7.5,5.2,4.5,26.2,57123,6
152,1.1,11.4,4.7,2.6,17,60058,5
153,0.8,12.3,5.1,3.6,21.5,71551,2
154,1.9,12.9,7,2.5,22.6,88669,1
155,1.1,3.3,6.5,7.4,35.3,40959,8
156,2,5.4,9,11.5,39.5,32875,21
157,2.7,8.6,12.4,13.4,35.5,27751,25
158,1.1,7.5,6.8,4.9,40.5,44164,11
159,3.9,13.2,9.9,14.4,39,26576,33
160,11.3,19.2,10,32.9,32,21323,53
161,4.1,11.6,12.6,19.3,34,24336,35
162,6.3,13.1,10,22.4,31.6,27249,34
163,5.2,10.6,10,16.2,33.6,26282,28
164,8.1,15.3,13.8,23.5,38.6,22014,50
165,10.8,18.7,14.6,37.3,37.3,15461,70
